Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sem,Sexo,Apr
Ingeniería Civil Industrial,85.0,100.0,0.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,50.0,60.0,100.0,66.0,100.0,100.0,81.0,97.0,100.0,93.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería en Aviación Comercial,78.0,19.0,46.0,50.0,0.0,100.0,100.0,25.0,60.0,60.0,83.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,105.0,0.0,100.0,100.0,100.0,85.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,0.0,0.0,15,2.0,2.0,0,1
Ingeniería Civil Industrial,75.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,105.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,86.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,94.0,0.0,76.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,95.0,100.0,100.0,105.0,0.0,100.0,30.0,100.0,95.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,65.0,75.0,0.0,100.0,100.0,100.0,75.0,25.0,100.0,100.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,91.0,91.0,100.0,100.0,100.0,95.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,88.0,35.0,0.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,0.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,68.0,42.0,0.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,88.0,100.0,95.0,100.0,90.0,90.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,87.0,37.0,0.0,100.0,0.0,100.0,100.0,50.0,100.0,60.0,50.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,80.0,25.0,60.0,100.0,0.0,100.0,100.0,75.0,100.0,100.0,67.0,60.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,90.0,75.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,60.0,44.0,52.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,90.0,90.0,97.0,83.0,89.0,77.0,100.0,90.0,86.0,90.0,100.0,100.0,95.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,0.0,0.0,6,2.0,2.0,0,1
