,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
81,Ingeniería Civil Eléctrica,4,4,0,4,4,4,4,3,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,0,4,96,4,1,2,0,1
83,Ingeniería Civil Eléctrica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,99,4,1,2,0,1
84,Ingeniería Civil Metalúrgica,4,4,0,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,1,4,4.0,4,4,4.0,4,4,4,4,4,4,0,4,89,10,1,2,1,1
86,Ingeniería Civil Eléctrica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,96,4,1,2,0,1
87,Ingeniería Civil Metalúrgica,4,3,0,4,4,4,4,1,3,1,2,4,4,0,0,4,0,4,4,0,4,3,0,4,4,0,4,4,1,4.0,4,0,4.0,4,0,4,4,0,4,0,4,61,10,1,2,1,1
88,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,0,0,0,4,0,4,4,4,4,4.0,4,4,4.0,0,0,0,0,0,0,0,0,89,11,1,2,0,1
89,Ingeniería Civil Metalúrgica,4,4,0,0,3,4,1,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1.0,4,4,4.0,4,4,4,4,4,4,4,4,82,10,1,2,1,1
90,Ingeniería Civil Plan Común,4,4,0,0,3,2,0,4,3,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,1,1,1,1,0.0,4,0,0.0,0,0,4,0,0,0,0,0,67,11,1,2,0,1
91,Ingeniería Civil Plan Común,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0.0,0,0,0.0,4,4,4,4,4,4,4,4,19,11,1,2,1,0
92,Ingeniería Civil Plan Común,4,1,0,0,3,4,1,4,1,4,4,4,4,4,0,4,4,4,4,0,0,0,4,4,4,1,4,4,1,0.0,4,1,4.0,4,4,4,4,4,4,4,4,69,11,1,2,0,1
93,Ingeniería Civil Metalúrgica,4,1,0,4,1,2,1,4,3,4,4,3,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,1,4,3.0,4,4,4.0,4,4,4,4,4,0,4,4,58,10,1,2,0,1
94,Ingeniería Comercial,1,0,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,2,0,1.0,0,2,0.0,4,4,0,4,4,4,4,0,13,14,2,2,1,0
95,Ingeniería Civil Plan Común,1,0,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,4,0,0,4,4,4,4,0,3,4,0,4.0,2,0,1.0,4,4,0,4,4,4,0,4,16,11,1,2,0,0
96,Ingeniería Civil Metalúrgica,4,4,0,0,0,0,0,3,3,1,4,4,0,3,0,0,4,0,4,4,1,0,4,4,4,1,4,1,4,1.0,4,3,1.0,4,4,4,4,4,4,4,4,71,10,1,2,0,1
97,Ingeniería Civil Eléctrica,4,0,0,4,4,4,0,4,0,4,4,1,0,4,4,0,4,0,0,4,0,0,0,4,4,4,4,0,0,3.0,4,4,0.0,4,0,0,0,0,4,0,0,22,4,1,2,0,0
98,Ingeniería Civil Plan Común,4,0,1,0,0,4,3,4,3,0,4,0,4,4,0,4,0,0,0,4,4,4,4,4,4,4,4,1,4,4.0,4,4,0.0,4,4,4,4,4,4,4,4,65,11,1,2,0,1
99,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,3,4,4,4,3,4,0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4.0,4,4,1.0,0,4,4,4,4,4,4,4,91,11,1,2,0,1
100,Ingeniería Civil Plan Común,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,1,4,3.0,4,0,0.0,4,4,4,4,4,4,4,4,73,11,1,2,0,1
101,Ingeniería Civil Plan Común,4,4,0,4,3,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,98,11,2,2,1,1
102,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,1,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,94,11,1,2,0,1
103,Ingeniería Civil Plan Común,4,4,0,4,3,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,0,0,0.0,4,4,4,4,4,4,4,4,88,11,1,2,0,1
104,Ingeniería Civil Eléctrica,4,1,1,4,0,4,3,0,1,4,4,0,4,4,0,4,4,4,4,0,4,4,4,4,4,0,4,1,0,0.0,0,0,0.0,0,0,0,4,4,0,4,4,49,4,1,2,0,0
105,Ingeniería Civil Plan Común,4,4,0,4,4,4,3,3,1,4,4,3,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4.0,0,4,4.0,4,4,4,4,4,4,4,4,78,11,1,2,0,1
106,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,0,4,4,4,4,0,93,10,1,2,1,1
107,Ingeniería Civil Metalúrgica,4,4,0,4,0,0,0,4,3,4,0,0,0,4,0,4,0,0,0,0,0,0,0,4,4,3,4,0,4,3.0,0,1,0.0,0,0,0,0,0,0,0,0,56,10,1,2,1,1
108,Ingeniería Civil Informática,4,4,0,4,4,4,4,4,3,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,97,7,1,2,0,1
109,Ingeniería Civil Informática,4,4,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,94,7,1,2,1,1
110,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,0,0.0,0,4,4,4,4,4,4,4,82,11,1,2,1,1
111,Ingeniería Civil Plan Común,1,0,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2.0,0,0,0.0,4,0,4,4,4,4,4,4,18,11,1,2,1,0
112,Ingeniería Civil Metalúrgica,4,0,1,0,4,4,3,3,3,3,4,3,4,4,4,0,4,0,0,0,0,0,0,4,4,4,4,4,4,0.0,0,0,0.0,4,4,0,4,4,4,4,0,58,10,1,2,0,1
113,Ingeniería Civil Plan Común,4,1,0,4,3,2,4,4,1,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,1.0,3,1,1.0,4,4,4,4,4,4,4,4,68,11,1,2,0,1
114,Ingeniería Civil Plan Común,4,0,2,4,4,0,4,4,3,4,2,3,3,4,0,0,4,0,1,0,0,1,4,4,4,4,1,3,0,3.0,0,0,0.0,0,0,0,0,0,0,0,0,57,11,1,2,0,1
115,Ingeniería Civil Metalúrgica,4,4,0,0,4,4,4,4,3,4,4,4,4,4,4,4,0,0,4,0,0,4,4,4,4,4,4,0,0,4.0,4,4,4.0,0,0,0,0,0,0,0,0,77,10,1,2,0,1
116,Ingeniería Civil Plan Común,1,1,0,0,4,4,4,4,1,4,1,4,3,4,4,4,4,4,4,4,4,0,0,4,4,4,4,2,2,0.0,0,0,0.0,4,4,4,4,4,0,4,4,43,11,1,2,1,0
