,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
48,Ingeniería Civil Eléctrica,2,0,0,0,100,63,60,100,40,0,0,100,100,0,0,0,0,100,100,80,100,100,100,90,90,100,90,100,100,0.0,80,0,0.0,100,0,0,0,0,0,0,0,1,4,1,2,0,0
49,Ingeniería Civil Eléctrica,92,90,0,0,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,93,4,1,2,0,1
50,Ingeniería Civil Plan Común,94,0,45,0,100,100,60,100,80,100,75,80,0,95,91,85,0,94,100,80,90,0,33,68,100,85,100,100,100,90.0,100,100,80.0,0,0,0,0,0,0,0,0,71,11,1,2,0,1
51,Ingeniería Civil Plan Común,83,40,0,100,60,100,40,100,40,80,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,90.0,100,65,100.0,100,100,100,100,100,100,100,100,76,11,1,2,0,1
52,Ingeniería Civil Plan Común,38,15,90,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,93,100,87,75,77,0,60,0.0,0,65,30.0,100,0,100,100,100,100,100,100,69,11,1,2,1,1
53,Ingeniería Civil Informática,98,100,0,0,100,100,80,100,100,100,100,80,100,0,100,100,100,100,100,100,100,100,100,100,80,100,100,70,90,92.0,100,0,77.0,0,100,100,0,100,100,100,0,91,7,1,2,0,1
54,Ingeniería Civil Plan Común,100,100,0,100,0,100,60,40,80,0,50,80,60,95,0,0,0,0,0,0,0,0,0,92,95,100,100,0,60,90.0,100,85,100.0,0,0,0,0,0,0,0,0,78,11,1,2,0,1
55,Ingeniería Civil Plan Común,85,40,0,0,60,100,0,100,60,100,100,100,100,100,0,100,100,100,100,100,100,100,100,92,95,80,100,100,90,65.0,54,100,62.0,100,100,100,100,100,100,100,100,74,11,1,2,0,1
56,Ingeniería Civil Eléctrica,98,85,0,100,100,100,100,80,80,100,75,100,20,100,100,90,74,71,48,59,88,86,76,100,92,90,100,100,80,70.0,90,80,69.0,100,100,100,100,100,100,100,100,90,4,1,2,0,1
57,Ingeniería Civil Plan Común,59,100,0,100,100,100,60,100,100,80,50,100,60,100,0,100,100,100,100,97,100,100,0,87,0,100,92,100,50,80.0,100,0,100.0,100,100,100,100,100,100,100,100,73,11,1,2,1,1
58,Ingeniería Civil Metalúrgica,85,45,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,89,100,90,100,100,100,100,75.0,90,90,70.0,100,100,100,100,100,100,100,100,78,10,1,2,0,1
59,Ingeniería Civil Eléctrica,89,65,0,0,100,50,0,100,60,100,75,0,0,90,0,0,57,97,57,0,0,0,0,92,95,100,80,40,0,65.0,85,0,0.0,0,0,100,100,0,100,100,100,64,4,1,2,0,1
60,Ingeniería Civil Plan Común,0,100,85,0,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,84,100,100,95.0,100,100,100.0,0,100,100,100,100,100,100,100,68,11,1,2,0,1
61,Ingeniería Civil Plan Común,75,45,0,100,100,0,0,100,40,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,95,80,95,95,90,47.0,0,65,79.0,100,100,100,100,0,100,0,0,53,11,1,2,0,0
64,Ingeniería Comercial,0,100,100,100,100,100,20,100,0,100,50,20,100,100,100,100,0,100,100,100,100,100,100,32,100,95,100,100,100,25.0,0,0,100.0,100,100,100,100,100,100,100,100,86,14,0,2,1,1
65,Ingeniería Civil Eléctrica,20,0,0,0,0,100,100,100,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,10,4,1,2,0,0
66,Ingeniería Civil Plan Común,100,95,0,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,92,100,100,92,100,100,100.0,100,100,95.0,100,100,100,100,100,100,100,100,97,11,1,2,0,1
67,Ingeniería Civil Plan Común,95,0,0,100,0,100,100,100,80,100,0,100,100,0,0,0,0,100,100,93,0,0,0,0,100,100,100,100,100,100.0,100,0,0.0,100,0,0,0,0,0,0,0,48,11,1,2,0,0
68,Ingeniería Civil Plan Común,40,35,45,100,100,100,100,80,40,80,0,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,85,100,62.0,100,42,85.0,100,100,100,100,0,0,0,100,43,11,1,2,0,0
69,Ingeniería Civil Informática,76,35,0,100,0,100,60,100,40,100,100,80,60,100,100,100,0,100,100,100,0,100,100,100,100,100,100,75,100,75.0,92,100,90.0,100,100,100,100,100,100,100,100,70,7,1,2,1,1
71,Ingeniería Civil Metalúrgica,89,90,0,0,60,100,100,100,60,100,100,0,100,96,85,100,98,99,100,98,100,100,100,92,100,100,100,100,90,80.0,100,100,84.0,100,100,100,100,100,100,100,100,88,10,1,2,0,1
72,Ingeniería Civil Plan Común,62,0,20,100,100,80,100,40,60,20,75,60,40,82,0,95,68,0,88,0,45,47,77,100,100,100,100,0,0,50.0,32,0,10.0,0,0,0,0,0,0,0,0,41,11,1,2,0,0
73,Ingeniería Civil Plan Común,35,100,0,0,60,100,20,100,60,60,100,100,100,100,73,100,100,100,100,100,100,100,100,100,100,0,100,90,90,0.0,92,0,0.0,0,100,100,0,100,0,0,100,61,11,1,2,1,1
74,Ingeniería Civil Plan Común,28,95,0,100,100,50,40,100,80,100,50,100,20,100,100,100,100,100,100,100,100,100,0,100,100,90,47,80,30,100.0,0,55,40.0,100,100,100,100,100,100,100,0,68,11,1,2,1,1
75,Ingeniería Civil Plan Común,46,85,0,100,0,100,20,0,20,100,50,0,0,100,100,100,0,100,94,0,100,100,84,100,100,100,100,65,45,60.0,57,65,0.0,0,0,0,0,0,0,0,0,58,11,1,2,1,1
76,Ingeniería Civil Plan Común,100,20,0,100,40,100,0,80,40,80,100,80,100,100,0,100,100,100,100,0,100,100,100,92,100,100,95,100,100,0.0,0,0,0.0,100,100,100,100,100,100,100,100,67,11,1,2,0,1
77,Ingeniería Civil Eléctrica,100,75,0,100,100,88,100,80,80,100,75,100,100,100,100,100,100,100,100,100,100,100,100,90,100,95,90,100,90,100.0,90,100,69.0,100,100,100,100,100,100,100,100,91,4,1,2,0,1
79,Ingeniería Civil Metalúrgica,80,35,0,0,0,100,60,100,20,100,100,80,100,0,0,0,0,100,86,98,100,0,100,0,100,40,85,0,70,0.0,0,0,0.0,100,100,0,100,100,100,0,0,58,10,1,2,0,1
80,Ingeniería Civil Plan Común,62,15,0,100,100,100,60,100,60,100,75,80,20,100,100,0,100,100,100,100,100,0,0,92,100,93,95,100,90,35.0,0,0,0.0,100,100,0,100,0,0,100,100,39,11,1,2,0,0
81,Ingeniería Civil Eléctrica,95,100,0,100,100,100,100,60,100,100,100,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,0,100,96,4,1,2,0,1
83,Ingeniería Civil Eléctrica,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,84,100,100,90,100,100,100.0,100,100,92.0,100,100,100,100,100,100,100,100,99,4,1,2,0,1
84,Ingeniería Civil Metalúrgica,92,85,0,100,60,50,100,100,100,100,100,100,100,81,70,100,100,100,100,0,100,100,100,87,100,100,100,15,90,80.0,100,100,100.0,100,100,100,100,100,100,0,100,89,10,1,2,1,1
86,Ingeniería Civil Eléctrica,100,90,0,100,100,100,80,100,100,80,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,96,4,1,2,0,1
87,Ingeniería Civil Metalúrgica,70,65,0,100,100,100,100,40,60,40,50,80,100,0,0,89,0,94,89,0,70,60,0,76,100,0,100,70,40,85.0,100,0,77.0,100,0,100,100,0,100,0,100,61,10,1,2,1,1
88,Ingeniería Civil Plan Común,100,100,0,100,100,100,100,100,80,100,100,80,100,92,89,95,0,97,95,0,0,0,0,87,0,100,100,100,100,100.0,100,100,100.0,0,0,0,0,0,0,0,0,89,11,1,2,0,1
89,Ingeniería Civil Metalúrgica,89,85,0,0,60,100,40,100,40,100,50,100,100,86,86,100,100,99,100,100,100,97,100,92,100,90,100,42,80,20.0,70,100,70.0,100,100,100,100,100,100,100,100,82,10,1,2,1,1
90,Ingeniería Civil Plan Común,77,90,0,0,60,50,0,100,60,100,75,100,100,0,100,100,100,100,100,100,100,99,100,0,77,10,30,20,10,0.0,100,0,0.0,0,0,100,0,0,0,0,0,67,11,1,2,0,1
91,Ingeniería Civil Plan Común,37,0,0,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,97,100,95,80,85,55,0,0.0,0,0,0.0,100,100,100,100,100,100,100,100,19,11,1,2,1,0
92,Ingeniería Civil Plan Común,100,35,0,0,60,100,40,80,20,100,100,100,100,100,0,100,100,100,100,0,0,0,100,87,100,40,69,100,30,0.0,100,25,92.0,100,100,100,100,100,100,100,100,69,11,1,2,0,1
93,Ingeniería Civil Metalúrgica,75,35,0,100,20,50,40,80,60,80,100,60,100,100,0,100,100,100,100,100,100,100,100,92,100,0,100,10,100,57.0,92,100,100.0,100,100,100,100,100,0,100,100,58,10,1,2,0,1
94,Ingeniería Comercial,25,0,0,100,100,100,100,80,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,47,100,58,72,55,0,10.0,0,52,0.0,100,100,0,100,100,100,100,0,13,14,2,2,1,0
95,Ingeniería Civil Plan Común,31,0,0,100,100,88,100,100,80,100,100,100,0,100,100,100,100,0,93,0,0,86,81,100,100,0,60,75,0,85.0,50,0,17.0,100,100,0,100,100,100,0,100,16,11,1,2,0,0
96,Ingeniería Civil Metalúrgica,83,85,0,0,0,0,0,60,60,40,100,100,0,58,0,0,85,0,94,100,43,0,78,92,95,43,100,40,90,45.0,100,62,39.0,100,100,100,100,100,100,100,100,71,10,1,2,0,1
97,Ingeniería Civil Eléctrica,67,0,0,100,100,100,0,80,0,100,75,40,0,100,100,0,96,0,0,94,0,0,0,100,100,95,72,0,0,65.0,75,90,0.0,100,0,0,0,0,100,0,0,22,4,1,2,0,0
98,Ingeniería Civil Plan Común,97,0,25,0,0,100,60,100,60,0,100,0,100,100,0,100,0,0,0,98,100,100,99,100,100,100,100,25,100,80.0,100,100,0.0,100,100,100,100,100,100,100,100,65,11,1,2,0,1
99,Ingeniería Civil Plan Común,86,100,0,100,100,100,100,100,60,100,100,100,60,100,0,100,100,0,0,100,100,100,100,100,100,100,100,100,100,80.0,95,100,35.0,0,100,100,100,100,100,100,100,91,11,1,2,0,1
100,Ingeniería Civil Plan Común,80,15,40,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,37,90,62.0,100,0,0.0,100,100,100,100,100,100,100,100,73,11,1,2,0,1
101,Ingeniería Civil Plan Común,98,100,0,100,60,100,0,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,98,11,2,2,1,1
102,Ingeniería Civil Plan Común,96,95,0,100,100,100,80,40,80,100,100,40,100,100,100,100,100,0,100,100,100,100,100,100,100,100,84,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,94,11,1,2,0,1
103,Ingeniería Civil Plan Común,100,85,0,100,60,100,100,100,40,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,80.0,0,0,0.0,100,100,100,100,100,100,100,100,88,11,1,2,0,1
104,Ingeniería Civil Eléctrica,88,10,10,100,0,100,60,0,40,80,100,0,100,100,0,100,100,91,100,0,100,100,100,92,100,0,100,27,0,0.0,0,0,0.0,0,0,0,100,100,0,100,100,49,4,1,2,0,0
105,Ingeniería Civil Plan Común,91,85,0,100,100,100,60,60,40,100,100,60,100,95,88,94,91,100,100,0,90,0,100,100,100,100,100,100,100,90.0,0,100,92.0,100,100,100,100,100,100,100,100,78,11,1,2,0,1
