Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Informática,65,60,-,10,10,10,6,10,10,6.67,8,6,10,100,100,100,100,100,100,100,100,100,100,95,90,100,100,0,40,70,85,100,100,,,,,,,,,75,0,0,7,0,0,1,1
Ingeniería Civil Electrónica,18,95,-,10,10,10,6,7.5,8,8.33,10,4,4,100,100,100,100,87,100,-,49,72,-,100,100,100,100,100,80,-,100,100,100,,,,,,,,,67,0,0,5,0,0,1,1
Ingeniería Civil Matemática,50,65,-,10,10,10,10,10,8,10,10,10,-,94,100,100,100,100,100,100,100,-,97,95,95,100,100,100,-,60,100,0,0,,,,,,,,,68,0,0,8,0,0,1,1
Ingeniería Civil Eléctrica,40,95,-,10,10,10,6,7.5,10,10,2,10,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,15,0,90,80,0,,,,,,,,,75,0,0,4,0,0,1,1
Ingeniería Civil,100,90,-,10,6,10,8,10,10,10,10,8,10,100,100,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,,,,,,,,,94,0,0,1,0,0,1,1
Ingeniería Civil Mecánica,42,25,-,10,10,0,8,10,4,4,10,6,10,82,76,85,75,93,97,98,100,89,99,45,100,90,100,100,50,90,0,0,30,,,,,,,,,34,0,0,9,0,0,1,0
Ingeniería Civil Matemática,48,0,90,10,6,10,6,10,10,8,10,10,10,100,85,-,71,100,-,100,100,86,100,90,95,100,100,70,80,100,100,100,100,,,,,,,,,46,0,0,8,0,1,1,0
Ingeniería Civil Mecánica,70,65,-,10,10,10,6,7.5,6,10,7.5,6,6,100,100,100,75,100,100,100,-,100,0,100,100,100,100,100,-,-,90,25,40,,,,,,,,,71,0,0,9,0,0,1,1
Ingeniería Civil Matemática,98,95,-,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,99,0,0,8,0,1,1,1
Ingeniería Civil Informática,100,100,-,10,10,10,6,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,100,100,100,100,,,,,,,,,99,0,0,7,0,0,1,1
Ingeniería Civil Matemática,40,90,100,10,10,0,10,7.5,8,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,85,100,100,80,100,100,100,100,,,,,,,,,94,0,0,8,0,0,1,1
Ingeniería Civil,37,100,-,10,10,0,6,10,8,10,10,10,10,100,100,100,100,100,100,100,100,100,100,90,100,100,70,100,45,100,90,75,100,,,,,,,,,79,0,0,1,0,0,1,1
Ingeniería Civil Mecánica,35,0,-,0,10,10,6,5,6,10,5,4,6,86,100,-,100,100,98,0,100,92,95,100,100,100,100,100,100,100,100,100,90,,,,,,,,,18,0,0,9,0,0,1,0
Ingeniería Civil Industrial,6,35,10,10,10,10,4,10,8,10,7.5,4,10,-,100,100,100,100,100,98,100,100,100,50,100,-,-,-,-,-,-,-,-,,,,,,,,,23,0,0,6,0,1,1,0
Ingeniería Civil Plan Común,61,80,-,10,10,10,8,5,10,10,10,10,10,100,100,100,-,100,100,100,100,100,-,95,100,100,100,100,100,100,65,90,75,,,,,,,,,80,0,0,11,0,1,1,1
Ingeniería Civil Informática,75,90,-,10,10,10,8,10,8,10,10,8,4,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,89,0,0,7,0,1,1,1
Ingeniería Civil Mecánica,0,0,-,0,10,10,6,7.5,6,-,-,-,-,0,100,-,73,100,100,-,-,-,-,80,90,80,80,95,10,0,0,0,0,,,,,,,,,0,0,0,9,0,0,1,0
Ingeniería Civil Informática,38,0,95,10,2,-,6,-,-,4,5,-,6,100,-,-,0,-,100,0,-,95,-,90,100,0,100,100,100,100,100,45,-,,,,,,,,,61,0,0,7,0,0,1,1
Ingeniería Civil,100,100,-,0,10,10,8,10,10,8.33,10,10,10,100,0,100,0,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,90,,,,,,,,,96,0,0,1,0,0,1,1
Ingeniería Civil Metalúrgica,58,85,-,10,10,10,10,7.5,6,10,10,10,10,92,82,0,81,80,74,62,100,100,100,100,100,100,100,100,75,100,100,90,100,,,,,,,,,83,0,0,10,0,1,1,1
Ingeniería Civil Informática,100,100,-,10,10,10,8,10,10,8,10,8,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,80,100,100,100,80,95,,,,,,,,,98,0,0,7,0,1,1,1
Ingeniería Civil,35,100,-,0,10,10,10,7.5,10,5,10,10,10,100,100,-,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,25,100,,,,,,,,,79,0,0,1,0,0,1,1
Ingeniería Civil Matemática,8,0,-,10,4,0,2,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,55,70,90,85,40,-,10,0,0,0,,,,,,,,,4,0,0,8,0,1,1,0
Ingeniería Civil Industrial,91,80,-,10,10,10,8,5,8,10,10,4,10,100,100,95,100,100,94,97,99,100,100,100,100,80,100,100,100,0,100,100,95,,,,,,,,,88,0,0,6,0,1,1,1
Construcción Civil,83,0,100,10,10,10,-,7.5,2,8.33,10,-,10,100,100,-,98,100,95,-,-,-,-,95,100,100,100,100,100,100,100,100,-,,,,,,,,,70,0,0,0,0,0,1,1
Ingeniería Civil Informática,30,85,-,10,10,0,8,7.5,2,8,2.5,2,10,95,93,90,-,100,-,-,90,-,100,90,95,100,95,80,0,100,95,0,0,,,,,,,,,60,0,0,7,0,0,1,1
Ingeniería Civil Industrial,60,60,-,10,10,10,8,7.5,10,10,7.5,10,10,100,100,-,100,95,100,-,100,-,-,-,100,95,90,100,70,-,50,85,-,,,,,,,,,67,0,0,6,0,1,1,1
Ingeniería Civil Informática,80,60,-,10,10,10,8,10,8,10,10,10,10,92,0,100,-,97,98,-,100,-,100,95,100,100,100,100,50,50,85,100,70,,,,,,,,,79,0,0,7,0,0,1,1
