Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil,93,100,-,0,10,10,10,10,10,8.33,10,6,10,-,88,69,88,87,86,79,-,-,-,100,100,95,100,95,55,100,0,95,100,,,,,,,,,86,0,0,1,1,0,1,1
Ingeniería Civil Mecánica,-,0,-,10,10,10,6,-,-,-,-,-,-,100,100,100,-,100,-,-,-,-,-,100,100,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,9,1,0,1,0
Ingeniería Civil Mecánica,0,0,-,10,4,10,10,7.5,8,6,0,-,2,100,100,-,100,100,100,-,-,-,-,100,100,55,100,100,80,0,0,0,0,,,,,,,,,0,0,0,9,1,0,1,0
Ingeniería Civil Informática,100,100,-,0,10,10,10,10,8,10,10,8,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,85,95,,,,,,,,,97,0,0,7,1,0,1,1
Ingeniería Civil Informática,6,80,35,-,10,-,10,-,-,6.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,,,,,,,,,39,0,0,7,1,0,1,0
Ingeniería Civil Informática,83,95,-,10,10,10,10,10,8,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,94,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,35,40,40,10,10,10,8,7.5,4,8,7.5,6,4,100,100,100,100,100,100,100,100,73,100,100,100,100,100,85,15,21,100,80,95,,,,,,,,,40,0,0,9,1,0,1,0
Ingeniería Civil Metalúrgica,5,0,-,0,4,10,4,7.5,4,2,2.5,0,2,0,0,-,-,-,79,-,-,-,-,0,90,0,10,95,0,0,0,0,0,,,,,,,,,3,0,0,10,1,0,1,0
Ingeniería Civil Metalúrgica,48,0,82,10,10,0,4,10,10,10,10,4,10,100,100,100,100,100,100,100,100,100,100,95,100,95,100,100,25,65,100,100,30,,,,,,,,,43,0,0,10,1,1,1,0
Ingeniería Civil Mecánica,47,85,-,10,10,10,8,7.5,8,10,10,4,10,100,100,100,100,100,100,100,100,100,0,100,100,100,100,95,85,100,100,97,95,,,,,,,,,80,0,0,9,1,0,1,1
Ingeniería Comercial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,0,0,0,14,1,0,1,0
Ingeniería Civil Mecánica,48,0,-,10,4,10,4,7.5,4,8.33,10,6,10,90,0,93,58,98,100,100,90,86,91,100,100,95,100,95,100,0,100,90,95,,,,,,,,,24,0,0,9,1,0,1,0
Ingeniería Civil Industrial,95,95,-,10,10,10,10,5,10,10,10,6,10,100,100,100,100,100,100,100,100,100,-,95,100,100,100,100,25,55,100,100,75,,,,,,,,,90,0,0,6,1,0,1,1
Ingeniería Civil Metalúrgica,83,65,-,10,10,10,10,10,10,-,5,6,2,100,100,100,100,100,100,0,100,100,100,95,100,80,0,100,0,0,0,80,0,,,,,,,,,69,0,0,10,1,1,1,1
Ingeniería Civil Metalúrgica,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,,,,,,,,,0,0,0,10,1,0,1,0
Ingeniería Civil Metalúrgica,90,45,-,10,4,10,8,7.5,4,10,0,0,10,100,100,-,100,100,100,0,100,98,100,75,100,100,100,100,100,31,100,50,100,,,,,,,,,73,0,0,10,1,0,1,1
Ingeniería Civil,60,100,-,10,10,0,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,80,100,,,,,,,,,87,0,0,1,1,0,1,1
Ingeniería Civil Plan Común,0,0,-,10,-,-,-,7.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,90,100,0,0,0,-,-,-,-,,,,,,,,,0,0,0,11,1,0,1,0
Ingeniería Civil Informática,63,40,62,-,10,0,10,7.5,8,10,-,4,10,100,100,100,0,100,100,98,100,100,100,95,100,95,100,100,0,0,65,85,0,,,,,,,,,63,0,0,7,1,0,1,1
Ingeniería Civil Informática,100,100,-,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,,,,,,,,,100,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,42,60,50,10,10,10,10,7.5,10,10,10,8,10,100,100,100,100,100,100,100,100,-,100,95,100,90,100,100,85,0,100,100,0,,,,,,,,,64,0,0,9,1,0,1,1
Ingeniería Civil Informática,75,80,-,10,10,10,7.5,10,6,10,10,-,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,85,90,95,100,,,,,,,,,85,0,0,7,1,0,1,1
Ingeniería Civil Informática,100,100,-,10,10,10,8,10,10,10,10,8,10,86,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,99,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,96,95,-,10,10,10,10,10,10,10,10,8,10,100,100,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,,,,,,,,,97,0,0,9,1,0,1,1
Ingeniería Civil Informática,98,0,55,10,10,10,8,10,8,10,10,4,4,100,57,86,55,78,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,,,,,,,,,84,0,0,7,1,0,1,1
