C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sexo,Sem,Apr,labels
51.0,0.0,90.0,100.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,95.0,100.0,100.0,81.0,100.0,92.0,0.0,100.0,84.0,100.0,100.0,90.0,100.0,0.0,100.0,55.0,85.0,100.0,100.0,90.0,100.0,80.0,100.0,100.0,100.0,0.0,100.0,100.0,78.0,2,0.0,1,2.0,1,3
70.0,0.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,100.0,100.0,100.0,73.0,7,0.0,0,1.0,1,3
31.0,10.0,0.0,0.0,40.0,0.0,80.0,100.0,20.0,66.7,50.0,60.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,75.0,90.0,0.0,100.0,100.0,100.0,0.0,95.0,20.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,21.0,0,0.0,0,1.0,0,0
50.0,95.0,0.0,100.0,100.0,100.0,40.0,75.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,0.0,100.0,100.0,100.0,36.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,7,0.0,0,1.0,1,2
65.0,100.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,90.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,7,0.0,0,1.0,1,2
37.0,95.0,0.0,100.0,100.0,100.0,40.0,75.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,1,0.0,1,1.0,1,3
33.0,50.0,77.0,100.0,40.0,100.0,40.0,75.0,20.0,60.0,100.0,20.0,40.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,60.0,90.0,70.0,85.0,100.0,50.0,90.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1,0.0,1,1.0,1,0
55.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,100.0,100.0,90.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.0,10,0.0,0,2.0,0,4
100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,60.0,83.3,50.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,7,0.0,0,1.0,1,2
95.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,5,0.0,0,2.0,1,3
90.0,75.0,0.0,100.0,100.0,0.0,80.0,75.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,9,0.0,0,1.0,1,4
74.0,55.0,0.0,100.0,0.0,100.0,100.0,75.0,20.0,83.3,80.0,0.0,0.0,87.0,100.0,0.0,100.0,0.0,0.0,0.0,94.0,0.0,0.0,100.0,100.0,95.0,100.0,95.0,70.0,95.0,100.0,100.0,0.0,100.0,0.0,50.0,100.0,100.0,100.0,0.0,0.0,66.0,9,0.0,0,1.0,1,4
100.0,100.0,0.0,100.0,100.0,100.0,60.0,75.0,80.0,100.0,100.0,80.0,100.0,91.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,90.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,9,0.0,0,1.0,1,4
76.5,0.0,0.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,95.0,100.0,80.0,0.0,0.0,90.0,60.0,50.0,0.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,38.0,12,0.0,1,2.0,0,1
0.0,50.0,85.0,0.0,100.0,0.0,60.0,75.0,80.0,16.7,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,80.0,100.0,60.0,80.0,80.0,0.0,0.0,0.0,0.0,75.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,55.0,7,0.0,0,1.0,0,1
80.0,65.0,0.0,100.0,100.0,100.0,100.0,75.0,40.0,100.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,95.0,15.0,85.0,0.0,75.0,65.0,90.0,80.0,100.0,0.0,100.0,0.0,75.0,0.0,100.0,0.0,75.0,18,0.0,0,2.0,1,4
71.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,94.0,95.0,89.0,100.0,67.0,100.0,100.0,100.0,99.0,100.0,100.0,90.0,95.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,77.0,2,0.0,0,2.0,1,3
100.0,95.0,0.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,90.91,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,11,0.0,0,2.0,1,4
43.0,90.0,0.0,0.0,100.0,0.0,40.0,50.0,80.0,100.0,100.0,60.0,100.0,64.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,95.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0,0.0,0,1.0,1,0
80.0,45.0,0.0,0.0,0.0,100.0,0.0,50.0,60.0,100.0,67.0,0.0,0.0,62.0,0.0,100.0,89.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,90.0,95.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1,0.0,0,2.0,0,0
20.0,60.0,100.0,100.0,40.0,0.0,40.0,75.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,48.0,95.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0,0.0,0,1.0,1,0
